Iteration,Energy_Ha,Error_Ha,Error_kcal_mol
1,-0.07933109540952132,1.057974940343875,663.8792750657815
2,-0.06863110725738508,1.0686749284960113,670.5935176312471
3,-0.004185879697033212,1.1331201560563633,711.0328979253679
4,-0.10619892778425644,1.0311071079691398,647.0197102506353
5,-0.034537843564655835,1.1027681921887407,691.9870405984348
6,-0.041767761206538245,1.095538274546858,687.4502672781534
7,-0.1188765701198694,1.018429465633527,639.0644896850382
8,-0.10412650551390845,1.033179530239488,648.3201552252787
9,-0.09726808039462498,1.0400379553587715,652.6238169876291
10,-0.15483887484786352,0.9824671609055329,616.4981434682219
11,-0.2182693119625596,0.9190367237908368,576.6955441787501
12,-0.10421354423895901,1.0330924915144375,648.2655384253095
13,-0.1203507257179921,1.0169553100354043,638.1394570472162
14,-0.18164369877080644,0.95566233698259,599.6781164565753
15,-0.037132575926632105,1.1001734598267643,690.3588460412946
16,-0.1972518432497763,0.9400541925036201,589.8840057960216
17,-0.29623362684026,0.8410724089131364,527.7729365929931
18,-0.36987639935372096,0.7674296363996754,481.56209684079636
19,-0.35056380643506413,0.7867422293183323,493.6807488972535
20,-0.3131785734760518,0.8241274622773446,517.1399825790337
21,-0.41438667511819915,0.7229193606351972,453.6318987985863
22,-0.4361383261827748,0.7011677095706216,439.98273775556504
23,-0.4143866751181994,0.722919360635197,453.6318987985861
24,-0.413823518413852,0.7234825173395444,453.9852796305641
25,-0.48157524216789127,0.6557307935855051,411.4710729749045
26,-0.7014288800122165,0.4358771557411799,273.5129152275904
27,-0.6856361245285975,0.45166991122479894,283.42286929356135
28,-0.6013813833004841,0.5359246524529123,336.2927194142025
29,-0.7557453980812806,0.3815606376721158,239.42930013925266
30,-0.6772090836549755,0.46009695209842094,288.71083744175917
31,-0.7415902399876292,0.3957157957657672,248.31166184301892
32,-0.534672188475325,0.6026338472780713,378.15273916698976
33,-0.7669956837746313,0.37031035197876505,232.36974586667506
34,-0.5098624394022601,0.6274435963511363,393.72085671033807
35,-0.7683491517114535,0.36895688404194293,231.52044473631918
36,-0.6457953081251658,0.49151072762823056,308.4229815867147
37,-0.6739895262466337,0.46331650950676273,290.73110971549363
38,-0.7260883513952919,0.41121768435810446,258.0390969347105
39,-0.7305675109474946,0.4067385248059018,255.22842431570336
40,-0.7020552737266333,0.43525076202676305,273.1198531717938
41,-0.753951694820418,0.3833543409329784,240.55484893544394
42,-0.6163734054649247,0.5209326302884717,326.885225506016
43,-0.7798493679298998,0.3574566678234966,224.3040590592441
44,-0.7044350180194893,0.4328710177339071,271.6265636280267
45,-0.698109732112627,0.43919630364076945,275.5956805345828
46,-0.5646429826121647,0.5726630531412317,359.3460658461229
47,-0.7578490757525097,0.3794569600008867,238.1092424005564
48,-0.820590485776672,0.31671554997672435,198.73900761039454
49,-0.7142426043001876,0.4230634314532088,265.47230323688854
50,-0.7442055734254419,0.3931004623279545,246.67054011079145
51,-0.6934087615466903,0.4438972742067061,278.54553956470806
52,-0.7547602836848978,0.3825457520684986,240.04745942298288
53,-0.826565888907116,0.3107401468462804,194.98944214604094
54,-0.6928628863599545,0.44444314939344187,278.88807624438476
55,-0.7978483341414658,0.33945770161193056,213.00970776148642
56,-0.6931561716816602,0.4441498640717362,278.70403970501445
57,-0.850234214144319,0.2870718216090774,180.13756805969606
58,-0.7131054169975665,0.42420061875582993,266.1858882692833
59,-0.8691389954560808,0.26816704029731564,168.27481778656556
60,-0.6948820017898264,0.44242403396357,277.6210813121402
61,-0.8401432236299485,0.29716281212344786,186.46966460746353
62,-0.7606838505689774,0.37662218518441903,236.33042120322295
63,-0.9267768820988921,0.2105291536545043,132.10704391820144
64,-0.7243944196215458,0.41291161613185057,259.10203912273624
65,-0.8024416737544547,0.33486436199894165,210.12738715433588
66,-0.9162982729480921,0.22100776280530432,138.68237116032847
67,-0.9231894446920662,0.21411659106133019,134.3581608909847
68,-0.922189317990663,0.21511671776273344,134.98574039611523
